run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,20,16,True,0.8925930261611938,0.6500000059604645,8,60.69221279999965
1,753160,1.0,1.0,15,14,True,0.8235300183296204,0.6500000059604645,10,61.06811319999997
2,753161,1.0,1.0,22,19,True,0.9086440205574036,0.6500000059604645,5,60.48491980000017
3,753162,1.0,1.0,13,12,True,0.8074820041656494,0.6500000059604645,11,60.70875809999961
4,753163,1.0,1.0,18,14,True,0.9115549921989441,0.6500000059604645,8,61.178156599999966
