run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,1.0,2792,2293,True,0.8205399513244629,0.0,88.96388350000052
1,1718514980,1.0,1.0,2380,1887,True,0.8246349692344666,0.0,89.62379130000045
2,1197973900,1.0,1.0,1972,1638,True,0.8194549679756165,0.0,89.65939419999631
3,148632566,1.0,1.0,2714,2113,True,0.8293600082397461,0.0,89.87291240000195
4,571431387,1.0,1.0,2561,1826,True,0.8119499683380127,0.0,90.0601788999993
