run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,80349449,1.0,1.0,2300,1576,True,0.8633999824523926,0.6500000059604645,267.3487955001183
1,827632318,1.0,0.9950000047683716,3145,1695,True,0.8640499711036682,0.6500000059604645,251.3608852000907
2,911029250,1.0,0.9950000047683716,2384,1709,True,0.8649449944496155,0.6500000059604645,247.82097929995507
3,1503424559,1.0,0.98499995470047,,1838,True,0.8632699847221375,0.6500000059604645,248.22439870005473
