run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,0.5550000071525574,,,False,0.22126498818397522,0.0,98.13815650000106
1,1718514980,1.0,0.5099999904632568,,,False,0.19792500138282776,0.0,98.16963150000083
2,1197973900,1.0,0.550000011920929,,,False,0.19273999333381653,0.0,98.47536039999977
3,148632566,1.0,0.4699999988079071,,,False,0.19166499376296997,0.0,98.13372359999994
4,571431387,1.0,0.35999998450279236,,,False,0.19720499217510223,0.0,98.3835975999973
