run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,64,55,True,0.6812350153923035,0.6500000059604645,6,38.87788829999954
1,753160,1.0,1.0,52,42,True,0.40439000725746155,0.6500000059604645,43,39.39193870000054
2,753161,1.0,1.0,57,34,True,0.39410799741744995,0.6499750018119812,119,39.34078539999973
3,753162,1.0,1.0,41,37,True,0.7053149938583374,0.6500000059604645,5,39.360844499999075
4,753163,1.0,1.0,54,46,True,0.6700230240821838,0.6500000059604645,6,39.31534029999966
