run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,128,115,True,0.5683289766311646,0.0,7,38.52322210000011
1,753160,1.0,1.0,123,118,True,0.5988569855690002,0.0,7,38.37387839999974
2,753161,1.0,1.0,113,100,True,0.590133011341095,0.0,6,38.575227899999845
3,753162,1.0,1.0,122,117,True,0.6129500269889832,0.0,52,38.34382800000003
4,753163,1.0,1.0,127,117,True,0.5853530168533325,0.0,9,38.15332739999985
