run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,0.5649999976158142,,,False,0.2061849981546402,0.0,77.03612010000006
1,1718514980,1.0,0.5099999904632568,,,False,0.19101499021053314,0.0,77.31563510000024
2,1197973900,1.0,0.550000011920929,,,False,0.18663999438285828,0.0,77.48118369999975
3,148632566,1.0,0.4749999940395355,,,False,0.19971498847007751,0.0,77.54226480000034
4,571431387,1.0,0.35999998450279236,,,False,0.191894993185997,0.0,77.56189069999982
