run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,48,36,True,0.8424630165100098,0.0,10,63.8224625999992
1,753160,1.0,1.0,50,43,True,0.8557350039482117,0.0,11,64.36012099999971
2,753161,1.0,1.0,51,45,True,0.8187810182571411,0.0,10,64.07703399999991
3,753162,1.0,1.0,58,46,True,0.8554989695549011,0.0,10,64.3038574000002
4,753163,1.0,1.0,59,49,True,0.8474529981613159,0.0,12,64.15460749999875
