run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,0.9749999642372131,1.0,2852,2368,True,0.8437599539756775,0.0,109.8490555999997
1,1718514980,0.9649999737739563,1.0,2451,1897,True,0.8433699607849121,0.0,110.49671949999902
2,1197973900,0.98499995470047,1.0,1993,1654,True,0.8425299525260925,0.0,110.74224740000136
3,148632566,0.9749999642372131,1.0,2783,2148,True,0.843364953994751,0.0,110.71253109999816
4,571431387,0.9649999737739563,1.0,2720,1850,True,0.8405449986457825,0.0,110.76617729999998
