run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,20,17,True,0.8662430047988892,0.6500000059604645,8,47.7348290000009
1,753160,1.0,1.0,15,14,True,0.8628489971160889,0.6500000059604645,8,48.07980289999978
2,753161,1.0,1.0,22,19,True,0.871275007724762,0.6500000059604645,5,47.77376229999936
3,753162,1.0,1.0,13,12,True,0.8571379780769348,0.6500000059604645,8,48.07646460000251
4,753163,1.0,1.0,19,15,True,0.852370023727417,0.6500000059604645,6,47.952141100002336
