run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,80349449,1.0,1.0,3582,3525,True,0.32578498125076294,0.6500000059604645,112.56440650000013
1,827632318,1.0,0.949999988079071,,,False,0.29391998052597046,0.6500000059604645,112.6190031000001
2,911029250,1.0,1.0,4337,4000,True,0.33192500472068787,0.6500000059604645,112.24538769999981
3,1503424559,1.0,1.0,4238,3683,True,0.3062799870967865,0.6500000059604645,112.46327100000008
