run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_step,first_high_step,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1926359045,1.0,0.5550000071525574,,,False,0.17329999804496765,0.0,129.2761148000136
1,201323333,1.0,0.3100000023841858,,,False,0.19135499000549316,0.0,114.66162179969251
2,1377352415,1.0,0.4699999988079071,,,False,0.1989699900150299,0.0,98.02308929990977
3,951763557,1.0,0.5949999690055847,,,False,0.18942999839782715,0.0,96.90528029995039
4,150521844,1.0,0.4350000023841858,,,False,0.1808749884366989,0.0,98.00503040011972
5,1602275767,1.0,0.6100000143051147,,,False,0.1969349980354309,0.0,99.26813740003854
6,1332738052,1.0,0.4699999988079071,,,False,0.1843850016593933,0.0,98.41746190004051
7,1574067317,1.0,0.5349999666213989,,,False,0.2000100016593933,0.0,99.1394921997562
8,472781290,1.0,0.42499998211860657,,,False,0.19156499207019806,0.0,101.60140640009195
9,2133691443,1.0,0.5,,,False,0.19555999338626862,0.0,101.47202839981765
10,713223379,1.0,0.574999988079071,,,False,0.2097349911928177,0.0,101.54660610016435
11,1752170038,1.0,0.4749999940395355,,,False,0.20235499739646912,0.0,102.26323360018432
12,1347451963,1.0,0.6049999594688416,,,False,0.20325998961925507,0.0,102.54398889979348
13,1026779926,1.0,0.5299999713897705,,,False,0.20950499176979065,0.0,102.17997750034556
14,1922639814,1.0,0.5299999713897705,,,False,0.19771499931812286,0.0,101.41619830019772
15,1159847000,1.0,0.5550000071525574,,,False,0.20612499117851257,0.0,101.90948420017958
16,1471765397,1.0,0.4350000023841858,,,False,0.19823499023914337,0.0,102.02313179988414
17,1870058660,1.0,0.550000011920929,,,False,0.19427499175071716,0.0,104.49941190006211
18,627616742,1.0,0.429999977350235,,,False,0.198294997215271,0.0,108.50874299975112
19,1795156433,1.0,0.4949999749660492,,,False,0.1779399961233139,0.0,102.64885549992323
