run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,0.9699999690055847,1.0,2798,2377,True,0.8431349992752075,0.0,111.04801619999853
1,1718514980,0.9649999737739563,1.0,2411,1938,True,0.8422049880027771,0.0,111.39677099999972
2,1197973900,0.9799999594688416,1.0,1977,1630,True,0.8421099781990051,0.0,111.77411270000084
3,148632566,0.9699999690055847,1.0,2784,2146,True,0.8434649705886841,0.0,111.63581219999833
4,571431387,0.9599999785423279,1.0,2676,1839,True,0.8396700024604797,0.0,111.6472952999975
