run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,58,47,True,0.844061017036438,0.0,10,59.10877400000027
1,753160,1.0,1.0,63,53,True,0.7848699688911438,0.0,12,59.29928839999775
2,753161,1.0,1.0,60,52,True,0.8378120064735413,0.0,13,59.26391800000056
3,753162,1.0,1.0,67,54,True,0.8427850008010864,0.0,11,59.71114800000214
4,753163,1.0,1.0,64,54,True,0.8476899862289429,0.0,10,59.80083750000267
