run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,80349449,1.0,0.9950000047683716,2217,1578,True,0.8643800020217896,0.6500000059604645,102.37171790000002
1,827632318,1.0,0.9899999499320984,,1693,True,0.8638550043106079,0.6500000059604645,102.35193939999999
2,911029250,1.0,0.9950000047683716,2489,1660,True,0.8641149997711182,0.6500000059604645,102.26543450000008
3,1503424559,1.0,0.98499995470047,,1820,True,0.8626799583435059,0.6500000059604645,102.36221380000006
