run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,132,122,True,0.5457500219345093,0.0,12,39.666296699999975
1,753160,1.0,1.0,140,129,True,0.5850470066070557,0.0,6,40.16689980000001
2,753161,1.0,1.0,112,99,True,0.5893939733505249,0.0,6,40.55306990000008
3,753162,1.0,1.0,120,120,True,0.5451239943504333,0.0,18,40.34125990000007
4,753163,1.0,1.0,185,170,True,0.5523669719696045,0.0,6,39.89260469999999
