run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,0.5600000023841858,,,False,0.22187499701976776,0.0,72.34556009999869
1,1718514980,1.0,0.5099999904632568,,,False,0.19306500256061554,0.0,72.63900699999795
2,1197973900,1.0,0.550000011920929,,,False,0.19282498955726624,0.0,72.96425200000158
3,148632566,1.0,0.4699999988079071,,,False,0.19152499735355377,0.0,72.99873389999993
4,571431387,1.0,0.35999998450279236,,,False,0.1994049996137619,0.0,73.08363149999786
