run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,1.0,2869,2396,True,0.8359249830245972,0.0,70.20255879999968
1,1718514980,1.0,1.0,2455,1883,True,0.8373199701309204,0.0,70.50153250000221
2,1197973900,1.0,1.0,1978,1645,True,0.8378599882125854,0.0,70.73517780000111
3,148632566,1.0,1.0,2830,2149,True,0.8371399641036987,0.0,70.85566160000235
4,571431387,1.0,1.0,2719,1834,True,0.8349249958992004,0.0,70.94210139999996
