run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,46,36,True,0.846560001373291,0.0,14,60.13507260000188
1,753160,1.0,1.0,52,45,True,0.8535059690475464,0.0,10,60.61326589999953
2,753161,1.0,1.0,52,45,True,0.8401179909706116,0.0,12,60.132956399997056
3,753162,1.0,1.0,59,48,True,0.8553339838981628,0.0,14,60.479349100001855
4,753163,1.0,1.0,61,53,True,0.852957010269165,0.0,10,60.44228579999617
