run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,0.9749999642372131,1.0,2844,2343,True,0.8429849743843079,0.0,115.58715099999972
1,1718514980,0.9649999737739563,1.0,2456,1975,True,0.8447049856185913,0.0,116.13478829999985
2,1197973900,0.98499995470047,1.0,1995,1638,True,0.8435499668121338,0.0,116.22061630000007
3,148632566,0.9749999642372131,1.0,2773,2161,True,0.8446049690246582,0.0,116.06503900000007
4,571431387,0.9649999737739563,1.0,2692,1832,True,0.8406299948692322,0.0,116.2622394
