run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,1.0,2792,2293,True,0.8205399513244629,0.0,107.00769409999884
1,1718514980,1.0,1.0,2380,1887,True,0.8246349692344666,0.0,107.3949948999998
2,1197973900,1.0,1.0,1972,1638,True,0.8194549679756165,0.0,107.81917739999881
3,148632566,1.0,1.0,2714,2113,True,0.8293600082397461,0.0,107.79404629999954
4,571431387,1.0,1.0,2561,1826,True,0.8119499683380127,0.0,107.72971210000105
