run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,67,54,True,0.8908339738845825,0.6500000059604645,8,46.49632699999711
1,753160,1.0,1.0,29,26,True,0.7733359932899475,0.6500000059604645,11,46.39016679999986
2,753161,1.0,1.0,44,38,True,0.9155210256576538,0.6499750018119812,14,46.452203400000144
3,753162,1.0,1.0,36,36,True,0.9215220212936401,0.6500000059604645,8,46.67032130000007
4,753163,1.0,1.0,50,43,True,0.8964250087738037,0.6500000059604645,10,46.70707670000047
