run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,25,19,True,0.8680959939956665,0.6500000059604645,9,56.576034900001105
1,753160,1.0,1.0,16,15,True,0.8605579733848572,0.6500000059604645,10,56.80996459999733
2,753161,1.0,1.0,24,22,True,0.874783992767334,0.6500000059604645,6,56.05798760000107
3,753162,1.0,1.0,14,13,True,0.8795599937438965,0.6500000059604645,8,56.30803450000167
4,753163,1.0,1.0,22,17,True,0.8562420010566711,0.6500000059604645,9,56.76919319999797
