run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,45,38,True,0.799081027507782,0.6500000059604645,4,51.39224770000146
1,753160,1.0,1.0,26,23,True,0.7208099961280823,0.6500000059604645,14,51.30467800000042
2,753161,1.0,1.0,36,23,True,0.7280589938163757,0.6500000059604645,4,51.17592990000412
3,753162,1.0,1.0,29,25,True,0.7407829761505127,0.6500000059604645,5,51.150740499993844
4,753163,1.0,1.0,38,31,True,0.7580569982528687,0.6500000059604645,6,51.535411900003965
