run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,80349449,1.0,0.9899999499320984,,4609,True,0.32424500584602356,0.6500000059604645,80.07094469999993
1,827632318,1.0,0.7299999594688416,,,False,0.2982349991798401,0.6500000059604645,80.11319789999993
2,911029250,1.0,0.73499995470047,,,False,0.33548998832702637,0.6500000059604645,80.95386370000006
3,1503424559,1.0,0.9099999666213989,,,False,0.3123599886894226,0.6500000059604645,81.11134449999986
