run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,108,99,True,0.5967209935188293,0.0,8,42.64345740000135
1,753160,1.0,1.0,121,109,True,0.5877799987792969,0.0,7,43.27384440000242
2,753161,1.0,1.0,98,92,True,0.5993070006370544,0.0,7,42.94254749999891
3,753162,1.0,1.0,113,109,True,0.5820109844207764,0.0,7,43.0733212999985
4,753163,1.0,1.0,138,126,True,0.5824699997901917,0.0,8,44.51812780000182
