run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,1.0,2843,2401,True,0.8359049558639526,0.0,64.38027470000088
1,1718514980,1.0,1.0,2456,1960,True,0.8363949656486511,0.0,64.81476140000086
2,1197973900,1.0,1.0,1968,1641,True,0.8368349671363831,0.0,64.97092390000034
3,148632566,1.0,1.0,2808,2149,True,0.8358249664306641,0.0,65.09342549999928
4,571431387,1.0,1.0,2702,1838,True,0.8347699642181396,0.0,65.45966780000163
