run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,0.5600000023841858,,,False,0.24826999008655548,0.0,65.74876519999998
1,1718514980,1.0,0.5099999904632568,,,False,0.24303999543190002,0.0,66.15444449999995
2,1197973900,1.0,0.550000011920929,,,False,0.24455998837947845,0.0,66.42588120000073
3,148632566,1.0,0.4699999988079071,,,False,0.2298550009727478,0.0,66.48844939999981
4,571431387,1.0,0.35999998450279236,,,False,0.23302999138832092,0.0,66.50358500000038
