run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,1.0,2892,2367,True,0.8394599556922913,0.0,62.28526360000251
1,1718514980,1.0,1.0,2500,1965,True,0.8389349579811096,0.0,62.61504699999932
2,1197973900,1.0,1.0,1991,1632,True,0.8389999866485596,0.0,62.828378400001384
3,148632566,1.0,1.0,2864,2169,True,0.8387399911880493,0.0,62.9381506000027
4,571431387,1.0,1.0,2721,1862,True,0.8368499875068665,0.0,62.96312089999992
