run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,115,102,True,0.5717759728431702,0.0,6,42.446085600000515
1,753160,1.0,1.0,127,120,True,0.5802720189094543,0.0,8,42.95986249999987
2,753161,1.0,1.0,104,94,True,0.5812579989433289,0.0,6,42.49982259999888
3,753162,1.0,1.0,115,105,True,0.5524140000343323,0.0,6,42.1619699999992
4,753163,1.0,1.0,138,125,True,0.5693029761314392,0.0,6,42.89212749999933
