run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,80349449,0.9950000047683716,1.0,2223,1603,True,0.8544999957084656,0.6500000059604645,97.55395199999998
1,827632318,0.9899999499320984,1.0,3537,1671,True,0.855364978313446,0.6500000059604645,97.10286860000008
2,911029250,0.9950000047683716,1.0,2217,1673,True,0.8566849827766418,0.6500000059604645,97.33513489999996
3,1503424559,0.9649999737739563,1.0,4435,1844,True,0.8529049754142761,0.6500000059604645,97.42535750000002
