run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1063212347,1.0,1.0,2748,2343,True,0.8183850049972534,0.0,116.03491080000003
1,1718514980,1.0,1.0,2366,1873,True,0.821679949760437,0.0,116.6119306999999
2,1197973900,1.0,1.0,1961,1600,True,0.8153199553489685,0.0,116.77401350000036
3,148632566,1.0,1.0,2704,2114,True,0.8284800052642822,0.0,116.23545749999994
4,571431387,1.0,1.0,2571,1783,True,0.8174249529838562,0.0,116.80978850000065
