run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,753159,1.0,1.0,45,37,True,0.9442660212516785,0.6500000059604645,4,65.09848199999942
1,753160,1.0,1.0,25,23,True,0.7473269701004028,0.6500000059604645,14,65.35345649999908
2,753161,1.0,1.0,34,26,True,0.7576770186424255,0.6500000059604645,8,64.49752790000093
3,753162,1.0,1.0,31,25,True,0.8747329711914062,0.6500000059604645,6,64.30968790000043
4,753163,1.0,1.0,38,31,True,0.842208981513977,0.6500000059604645,10,65.22491619999892
